GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,YEAR.id,GOVEMPFUNCT.id,GOVEMPFUNCT.display-label,EMPFT,PAYANNFT,EMPPT,PAYANNPT,HRSPT,EMPFTE,EMP,PAYANN
0100000US,,United States,,2013,1000,Total - All Government Employment Functions,3715174,18268437317,1588537,2204353757,104656737,4315482,5303711,20472791074
0100000US,,United States,,2013,1020,Financial Administration,161936,750573643,9251,19206734,973392,167533,171187,769780377
0100000US,,United States,,2013,1040,Other Government Administration,47018,224285086,10827,22588399,934598,52403,57845,246873485
0100000US,,United States,,2013,1060,Judicial and Legal,168705,909160034,9299,22611295,810326,173332,178004,931771329
0100000US,,United States,,2013,1100,Police Protection Total,99154,559999410,2817,4336539,189895,100242,101971,564335949
0100000US,,United States,,2013,1101,Police Protection - Persons with Power of Arrest       ,63371,413070643,593,696968,23425,63502,63964,413767611
0100000US,,United States,,2013,1102,Police Protection - Other ,35783,146928767,2224,3639571,166470,36740,38007,150568338
0100000US,,United States,,2013,1120,Fire Protection Total ,0,0,0,0,0,0,0,0
0100000US,,United States,,2013,1121,Fire Protection - Firefighters,0,0,0,0,0,0,0,0
0100000US,,United States,,2013,1122,Fire Protection - Other ,0,0,0,0,0,0,0,0
0100000US,,United States,,2013,1140,Corrections,435236,1852966252,17002,33864277,1291313,442567,452238,1886830529
0100000US,,United States,,2013,1160,Highways,211973,977544202,10847,26093178,1056952,218099,222820,1003637380
0100000US,,United States,,2013,1180,Air Transportation,3170,17228011,67,136911,6180,3205,3237,17364922
0100000US,,United States,,2013,1200,Water Transport and Terminals       ,4563,25181488,141,295060,13261,4639,4704,25476548
0100000US,,United States,,2013,1220,Public Welfare,223577,867992577,12952,32078364,1478418,232021,236529,900070941
0100000US,,United States,,2013,1240,Health,172715,768398162,17724,40708524,1573363,181688,190439,809106686
0100000US,,United States,,2013,1260,Hospitals,352146,1646975261,77872,271142041,8174853,398849,430018,1918117302
0100000US,,United States,,2013,1280,Social Insurance Administration,75959,323214879,7315,16612165,775474,80434,83274,339827044
0100000US,,United States,,2013,1300,Solid Waste Management,2111,12178041,291,921265,35079,2311,2402,13099306
0100000US,,United States,,2013,1320,Sewerage,1643,10033580,47,219043,3698,1665,1690,10252623
0100000US,,United States,,2013,1340,Parks and Recreation,29338,107251348,11062,14836514,1051421,35374,40400,122087862
0100000US,,United States,,2013,1360,Housing and Community Development,473,2461564,64,145389,7750,517,537,2606953
0100000US,,United States,,2013,1380,Natural Resources,118298,531516803,25737,41174114,2288140,131312,144035,572690917
0100000US,,United States,,2013,1400,Water Supply,746,4290455,32,84521,3001,765,778,4374976
0100000US,,United States,,2013,1420,Electric Power,4089,28242282,46,138459,4557,4114,4135,28380741
0100000US,,United States,,2013,1440,Gas Supply,0,0,0,0,0,0,0,0
0100000US,,United States,,2013,1460,Transit,30711,196738639,1375,2662059,134158,31469,32086,199400698
0100000US,,United States,,2013,1480,Education Total ,1395246,7622222071,1353977,1619423872,82159951,1866857,2749223,9241645943
0100000US,,United States,,2013,1481,Education - Elementary and Secondary Total ,43310,212494984,17271,17833499,785119,48135,60581,230328483
0100000US,,United States,,2013,14811,Education - Elementary and Secondary Instructional             ,32333,173554227,12670,12460913,546306,35664,45003,186015140
0100000US,,United States,,2013,14812,Education - Elementary and Secondary Other ,10977,38940757,4601,5372586,238813,12471,15578,44313343
0100000US,,United States,,2013,1482,Education - Higher Education Total ,1272152,7051410748,1323273,1577777907,80313326,1732878,2595425,8629188655
0100000US,,United States,,2013,14821,Education - Higher Education Instructional,407282,3115434376,427015,758842489,27072901,563251,834297,3874276865
0100000US,,United States,,2013,14822,Education - Higher Education Other ,864870,3935976372,896258,818935418,53240425,1169627,1761128,4754911790
0100000US,,United States,,2013,1483,Education - Other,79784,358316339,13433,23812466,1061506,85844,93217,382128805
0100000US,,United States,,2013,1500,Libraries                          ,472,1557888,273,259386,20426,587,745,1817274
0100000US,,United States,,2013,1560,State liquor stores,6003,20147276,5280,7587851,477612,8801,11283,27735127
0100000US,,United States,,2013,1580,All other and unallocable,169892,808278365,14239,27227797,1192919,176698,184131,835506162
0400000US01,01,Alabama,,2013,1000,Total - All Government Employment Functions,78955,342315590,30226,30934398,1798658,89366,109181,373249988
0400000US01,01,Alabama,,2013,1020,Financial Administration,2432,10538974,67,130415,6892,2471,2499,10669389
0400000US01,01,Alabama,,2013,1040,Other Government Administration,512,2593707,218,576428,23395,645,730,3170135
0400000US01,01,Alabama,,2013,1060,Judicial and Legal,3145,13883267,243,419411,30241,3316,3388,14302678
0400000US01,01,Alabama,,2013,1100,Police Protection Total,1389,5234956,0,0,0,1389,1389,5234956
0400000US01,01,Alabama,,2013,1101,Police Protection - Persons with Power of Arrest       ,719,3159110,0,0,0,719,719,3159110
0400000US01,01,Alabama,,2013,1102,Police Protection - Other ,670,2075846,0,0,0,670,670,2075846
0400000US01,01,Alabama,,2013,1120,Fire Protection Total ,0,0,0,0,0,0,0,0
0400000US01,01,Alabama,,2013,1121,Fire Protection - Firefighters,0,0,0,0,0,0,0,0
