GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,YEAR.id,GOVEMPFUNCT.id,GOVEMPFUNCT.display-label,EMPFT,PAYANNFT,EMPPT,PAYANNPT,HRSPT,EMPFTE,EMP,PAYANN
0100000US,,United States,,2014,1000,Total - All Government Employment Functions,3740501,18904367213,1589031,2215861769,102727758,4330051,5329532,21120228982
0100000US,,United States,,2014,1020,Financial Administration,163723,781711236,9377,19790352,1001753,169481,173100,801501588
0100000US,,United States,,2014,1040,Other Government Administration,47038,229852908,10112,20757538,884304,52121,57150,250610446
0100000US,,United States,,2014,1060,Judicial and Legal,168691,929780802,9259,22878731,815302,173339,177950,952659533
0100000US,,United States,,2014,1100,Police Protection Total,100279,578347039,2803,4222536,181761,101325,103082,582569575
0100000US,,United States,,2014,1101,Police Protection - Persons with Power of Arrest       ,64174,426537442,515,529780,18652,64281,64689,427067222
0100000US,,United States,,2014,1102,Police Protection - Other ,36105,151809597,2288,3692756,163109,37044,38393,155502353
0100000US,,United States,,2014,1120,Fire Protection Total ,0,0,0,0,0,0,0,0
0100000US,,United States,,2014,1121,Fire Protection - Firefighters,0,0,0,0,0,0,0,0
0100000US,,United States,,2014,1122,Fire Protection - Other ,0,0,0,0,0,0,0,0
0100000US,,United States,,2014,1140,Corrections,434284,1937046150,9427,26042273,989860,439917,443711,1963088423
0100000US,,United States,,2014,1160,Highways,210122,993092080,11524,29118845,1112893,216554,221646,1022210925
0100000US,,United States,,2014,1180,Air Transportation,3197,17601150,63,129500,5710,3231,3260,17730650
0100000US,,United States,,2014,1200,Water Transport and Terminals       ,4573,25724325,118,247450,9941,4629,4691,25971775
0100000US,,United States,,2014,1220,Public Welfare,233180,917964484,10749,25391875,1209400,240104,243929,943356359
0100000US,,United States,,2014,1240,Health,173023,798222782,16553,39373413,1474455,181437,189576,837596195
0100000US,,United States,,2014,1260,Hospitals,354405,1699755828,78408,272934079,7937758,399630,432813,1972689907
0100000US,,United States,,2014,1280,Social Insurance Administration,72375,319820144,5335,13235187,563175,75615,77710,333055331
0100000US,,United States,,2014,1300,Solid Waste Management,2216,12907887,203,548054,23388,2349,2419,13455941
0100000US,,United States,,2014,1320,Sewerage,1684,10656757,51,282308,4565,1711,1735,10939065
0100000US,,United States,,2014,1340,Parks and Recreation,29980,108150983,10647,13716192,954060,35471,40627,121867175
0100000US,,United States,,2014,1360,Housing and Community Development,597,3363416,63,149862,6511,634,660,3513278
0100000US,,United States,,2014,1380,Natural Resources,120349,553966543,25596,39454354,2151950,132640,145945,593420897
0100000US,,United States,,2014,1400,Water Supply,700,3938018,26,56995,1598,710,726,3995013
0100000US,,United States,,2014,1420,Electric Power,3958,27817976,53,155823,4711,3984,4011,27973799
