QtrRolAvg,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,, 
2006Q1,2497274,697128,3382520,2128233,34466330,2516118,3634037,892447,10355546,5154554,1476267,929404,8392794,4179310,1638753,1851434,2867611,2575644,1025480,4366214,5780296,7109592,5194180,1795412,3032186,617261,1192028,1822259,639089,7990837,1512248,16803771,6165172,481989,7206721,2325479,2332302,8746459,834055,2403511,357577,3253218,10773703,1586187,654746,5226382,4897133,1375724,4223058,575858,,
2006Q2,2547793,715766,3583643,2148759,34695882,2611501,3699809,912800,10394203,5213431,1501718,959482,8635682,4262405,1653969,1914750,2939685,2602427,1062531,4461604,5891842,7486977,5291901,1832595,3109104,647778,1210084,1873257,644158,8127015,1551726,17145894,6291502,495338,7489263,2399228,2323327,8869625,837835,2476599,361016,3290233,11063115,1678681,693398,5344528,5013402,1392026,4231344,647186,,
2006Q3,2587928,775664,3618383,2170463,34943121,2647095,3700361,909087,10267269,5367153,1482951,968927,8833051,4336252,1781753,1941478,2935088,2856375,1083135,4405331,5932345,7186161,5251080,1887626,3121424,656449,1199228,1871314,632298,8120896,1528373,17160422,6395865,511055,7385044,2428137,2332470,8878226,839983,2490507,363329,3283731,11191588,1716242,692248,5655682,5143824,1390612,4228277,653220,,
2006Q4,2618077,744310,3662424,2180431,34920565,2640180,3693213,910439,10186311,5398805,1509881,984037,9007250,4361443,1807163,1964409,2931130,2954274,1085629,4432752,5890148,6999626,5288373,1896199,3132804,640852,1194839,1883708,629402,8264076,1613678,17385250,6473156,510057,7379873,2430976,2329234,8928911,816395,2523776,365658,3297400,11262539,1740177,706093,5377941,5204624,1408558,4252962,652709,,
2007Q1,2616221,733897,3688422,2174319,34806232,2667705,3731765,909424,9981870,5430791,1504964,1013446,9048272,4370092,1822121,1978831,2937210,2971404,1087828,4434994,5973399,7094979,5284774,1895068,3152837,662221,1204353,1867390,659006,8472507,1490749,17797635,6571932,514131,7384159,2437324,2286613,9066135,812302,2567388,367699,3335640,11408646,1741793,707211,5377595,5223118,1389685,4234034,634257,,
2007Q2,2625471,1019111,3627633,2203752,34771070,2728931,3783346,913134,9739006,5551360,1512527,1049425,9112135,4417464,1847401,2045774,2911291,3042800,1043438,4480693,6085056,7108248,5274664,1925297,3177636,633256,1208139,1866768,658789,8743768,1502479,17719066,6712657,529285,7465102,2423863,2299706,9150787,820910,2583743,370898,3372291,12355931,1802386,704049,5442862,5257745,1380331,4296580,600976,,
2007Q3,2618767,1013210,3709596,2197124,34411490,2743969,3775883,919590,9526805,5457662,1521900,1070304,9079500,4451711,1868414,2056112,2910297,3073806,1028841,4360244,6129361,7039354,5289496,1933628,3190318,662622,1228318,1843791,656696,8854877,1509821,17925088,6746958,538424,7576522,2431235,2305153,9251453,828317,2586032,376334,3394165,12596009,1798213,701133,5388411,5248229,1437185,4304959,604159,,
2007Q4,2620615,1337006,3748243,2201844,34649288,2784413,3792227,916708,9301772,5468182,1524494,1086582,9150006,4478180,1905993,2073533,2878841,3074382,1019354,4229610,6129397,7082154,5272479,1945451,3197903,716448,1229711,1851604,664999,8937609,1511861,17804906,6714290,579795,7627096,2429159,2009288,9308040,825858,2586376,385241,3372329,12813341,1820623,727551,5316116,5265156,1398264,4265138,621336,,
2008Q1,2619568,1506182,3749143,2199068,34419099,2779031,3706478,894823,9002105,5409870,1522176,1070081,9228963,4498022,1930551,2101063,2893559,3091767,1009485,4384861,6249002,7206503,5268396,1956188,3197091,709134,1215968,1830500,657825,8835163,1486794,17961610,6669165,615540,7917668,2409570,2033149,9337468,811942,2479268,392730,3364433,12892488,1804642,728438,5251370,5298559,1428393,4314371,638469,,
2008Q2,2614446,2232697,3730907,2192626,34447434,2780361,4044666,893753,8667908,5289917,1496585,1061360,9262435,4544769,1963088,2083795,2912410,3095420,1065412,4489090,6331760,7237885,5324032,1968598,3186982,713929,1214608,1782373,662159,8892357,1504937,18508951,6621520,671648,8021155,2441348,2084695,9335133,802550,2385480,381965,3348167,12848956,1774848,699186,5132798,5207328,1417985,4332205,643212,,
