GovtName,UnionRep
Alabama,"170,000"
Alaska,"59,000"
Arizona,"151,000"
Arkansas,"59,000"
California,"2,796,000"
Colorado,"263,000"
Connecticut,"288,000"
Delaware,"56,000"
District of Columbia,"37,000"
Florida,"574,000"
Georgia,"210,000"
Hawaii,"125,000"
Idaho,"47,000"
Illinois,"856,000"
Indiana,"335,000"
Iowa,"153,000"
Kansas,"132,000"
Kentucky,"228,000"
Louisiana,"88,000"
Maine,"77,000"
Maryland,"347,000"
Massachusetts,"407,000"
Michigan,"651,000"
Minnesota,"388,000"
Mississippi,"90,000"
Missouri,"290,000"
Montana,"58,000"
Nebraska,"74,000"
Nevada,"182,000"
New Hampshire,"74,000"
New Jersey,"666,000"
New Mexico,"64,000"
New York,"2,075,000"
North Carolina,"174,000"
North Dakota,"25,000"
Ohio,"702,000"
Oklahoma,"97,000"
Oregon,"267,000"
Pennsylvania,"724,000"
Rhode Island,"81,000"
South Carolina,"52,000"
South Dakota,"26,000"
Tennessee,"174,000"
Texas,"606,000"
Utah,"79,000"
Vermont,"37,000"
Virginia,"226,000"
Washington,"577,000"
West Virginia,"88,000"
Wisconsin,"244,000"
Wyoming,"18,000"
